DCS_TAG,TagComment,Type,ITEM,ItemComment,RangeHI,RangeLO,UNIT,DataType,Array1,Array2,MarType,Process,VM_UNIT,VAR,VMArray1
S3119_DIAG_OTER,'OTHER,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3119,B,5
S3119_N2S2,'N2S2,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3119,B,31
S3119_N1S3,'N1S3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3119,B,25
S3119_N3S1,'N3S1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3119,B,9
S063LZTM00086,'LL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3119,B,5
SCS3119DI,'SERIAL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3119,B,2
S071T05067AFUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S3119,B,5
S071UZT16920,TRIP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S3119,B,29
S071SDPE05100,'SDV,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S3119,B,19
S071TZAF05068A,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200901S3119,B,12
S071T05074FUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201101S3119,B,6
S071PAF05075A,'SDV,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201101S3119,B,27
S2014_N7_NRL,'N7,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2014,B,25
S1701_N2S2,'N2S2,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S1701,B,9
S1701_N1S3,'N1S3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S1701,B,3
S1701_N3S1,'N3S1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S1701,B,17
S146HS00100,'U146,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200901S1701,B,11
S050HSA00104,ALARM,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202101S1701,B,8
146XL00100,'OWS-1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202301S1701,B,9
S000EZT01270,TRIP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB203101S1701,B,6
060XL00132B,'OWS-6,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB204901S1701,B,14
S840XLAF80201,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB205901S1701,B,30
S060HSM00158_020,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB206501S1701,B,29
S840HSMF40201,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB206501S1701,B,19
S2103WB2019,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201901S2103,B1,0
S2103WB2217,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB221701S2103,B2,0
S2111WB2015,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201501S2111,B1,0
S2111WB2037,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB203701S2111,B1,0
S2111WB2103,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB210301S2111,B2,0
S2119WB2031,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB203101S2119,B1,0
S2119WB2053,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB205301S2119,B1,0
S2119WB2097,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB209701S2119,B2,0
S2119WB2141,'CO,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB214101S2119,B2,0
S2115_NET_BUS1,'BUS1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2115,B,11
S2115_SEC_STS,'SEC,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2115,B,1
S2115_N1IO_STS,'N1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2115,B,29
S163LZAF00186,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201901S2115,B,32
S146FZVLL20015,'CONF,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB204901S2115,B,24
S146UZTD23101_2,'TIMER,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB205101S2115,B,27
S2602_N3_NRL,'N3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S2602,B,7
S2602_N4IO_STS,'N4,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S2602,B,28
SCS2602DI,'SERIAL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2602,B,1
S063T00317FUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2602,B,26
